country,year,cpi,gdppc,category
Uruguay,2019,71,24006.78694,Spanish
Uruguay,2020,71,22785.19992,Spanish
Uzbekistan,2012,17,6061.947154,Russian
Uzbekistan,2013,17,6302.647244,Russian
Uzbekistan,2014,18,6494.859941,Russian
Uzbekistan,2015,19,6680.184701,Russian
Uzbekistan,2016,21,6796.904892,Russian
Uzbekistan,2017,22,6840.70986,Russian
Uzbekistan,2018,23,7252.985197,Russian
Uzbekistan,2019,25,7658.899559,Russian
Uzbekistan,2020,26,7731.144448,Russian
Zimbabwe,2012,20,2375.927006,British
Zimbabwe,2013,21,2560.773267,British
Zimbabwe,2014,21,2612.455954,British
Zimbabwe,2015,21,2679.507615,British
Zimbabwe,2016,22,2806.469032,British
Zimbabwe,2017,22,3795.642431,British
Zimbabwe,2018,22,4017.221716,British
Zimbabwe,2019,24,3783.547898,British
Zimbabwe,2020,24,3536.034132,British
