xFitted,yFitted
40.66766767,16728.44537
40.73173173,16764.14222
40.7957958,16799.90865
40.85985986,16835.74527
40.92392392,16871.65273
40.98798799,16907.63165
41.05205205,16943.68266
41.11611612,16979.80638
41.18018018,17016.00346
41.24424424,17052.27451
41.30830831,17088.62016
41.37237237,17125.04104
41.43643644,17161.53779
41.5005005,17198.11103
41.56456456,17234.76139
41.62862863,17271.48949
41.69269269,17308.29597
41.75675676,17345.18146
41.82082082,17382.14658
41.88488488,17419.19197
41.94894895,17456.31825
42.01301301,17493.52604
42.07707708,17530.81599
42.14114114,17568.18872
42.20520521,17605.64485
42.26926927,17643.18502
42.33333333,17680.80985
42.3973974,17718.51997
42.46146146,17756.31602
42.52552553,17794.19862
42.58958959,17832.16839
42.65365365,17870.22598
42.71771772,17908.372
42.78178178,17946.60709
42.84584585,17984.93187
42.90990991,18023.34697
42.97397397,18061.85303
43.03803804,18100.45067
43.1021021,18139.14051
43.16616617,18177.9232
43.23023023,18216.79935
43.29429429,18255.7696
43.35835836,18294.83457
43.42242242,18333.99489
43.48648649,18373.2512
43.55055055,18412.60412
43.61461461,18452.05427
43.67867868,18491.6023
43.74274274,18531.24882
43.80680681,18570.99446
43.87087087,18610.83987
43.93493493,18650.78565
43.998999,18690.83245
44.06306306,18730.98088
44.12712713,18771.23159
44.19119119,18811.58519
44.25525526,18852.04232
44.31931932,18892.60361
44.38338338,18933.26968
44.44744745,18974.04117
44.51151151,19014.91869
44.57557558,19055.90289
44.63963964,19096.99439
44.7037037,19138.19381
44.76776777,19179.50179
44.83183183,19220.91896
44.8958959,19262.44594
44.95995996,19304.08336
45.02402402,19345.83186
45.08808809,19387.69206
45.15215215,19429.66458
45.21621622,19471.75007
45.28028028,19513.94914
45.34434434,19556.26243
45.40840841,19598.69056
45.47247247,19641.23416
45.53653654,19683.89387
45.6006006,19726.67031
45.66466466,19769.5641
45.72872873,19812.57589
45.79279279,19855.70629
45.85685686,19898.95594
45.92092092,19942.32546
45.98498498,19985.81548
46.04904905,20029.42664
46.11311311,20073.15956
46.17717718,20117.01486
46.24124124,20160.99319
46.30530531,20205.09516
46.36936937,20249.32141
46.43343343,20293.67256
46.4974975,20338.14924
46.56156156,20382.75209
46.62562563,20427.48173
46.68968969,20472.33878
46.75375375,20517.32389
46.81781782,20562.43767
46.88188188,20607.68076
46.94594595,20653.05378
47.01001001,20698.55737
47.07407407,20744.19214
47.13813814,20789.95874
47.2022022,20835.85779
47.26626627,20881.88991
47.33033033,20928.05575
47.39439439,20974.35592
47.45845846,21020.79105
47.52252252,21067.36177
47.58658659,21114.06872
47.65065065,21160.91252
47.71471471,21207.8938
47.77877878,21255.01318
47.84284284,21302.27131
47.90690691,21349.6688
47.97097097,21397.20628
48.03503504,21444.88439
48.0990991,21492.70374
48.16316316,21540.66498
48.22722723,21588.76873
48.29129129,21637.01562
48.35535536,21685.40627
48.41941942,21733.94132
48.48348348,21782.62139
48.54754755,21831.44712
48.61161161,21880.41913
48.67567568,21929.53805
48.73973974,21978.80451
48.8038038,22028.21914
48.86786787,22077.78256
48.93193193,22127.49541
48.995996,22177.35832
49.06006006,22227.3719
49.12412412,22277.5368
49.18818819,22327.85364
49.25225225,22378.32305
49.31631632,22428.94566
49.38038038,22479.7221
49.44444444,22530.65299
49.50850851,22581.73896
49.57257257,22632.98065
49.63663664,22684.37868
49.7007007,22735.93368
49.76476476,22787.64628
49.82882883,22839.51711
49.89289289,22891.5468
49.95695696,22943.73597
50.02102102,22996.08526
50.08508509,23048.59528
50.14914915,23101.26669
50.21321321,23154.10009
50.27727728,23207.09612
50.34134134,23260.25541
50.40540541,23313.57859
50.46946947,23367.06628
50.53353353,23420.71912
50.5975976,23474.53773
50.66166166,23528.52274
50.72572573,23582.67478
50.78978979,23636.99448
50.85385385,23691.48247
50.91791792,23746.13938
50.98198198,23800.96584
51.04604605,23855.96246
51.11011011,23911.12989
51.17417417,23966.46876
51.23823824,24021.97968
51.3023023,24077.6633
51.36636637,24133.52023
51.43043043,24189.55111
51.49449449,24245.75656
51.55855856,24302.13722
51.62262262,24358.69371
51.68668669,24415.42667
51.75075075,24472.33671
51.81481481,24529.42448
51.87887888,24586.69059
51.94294294,24644.13568
52.00700701,24701.76038
52.07107107,24759.56531
52.13513514,24817.5511
52.1991992,24875.71839
52.26326326,24934.06779
52.32732733,24992.59995
52.39139139,25051.31548
52.45545546,25110.21502
52.51951952,25169.2992
52.58358358,25228.56864
52.64764765,25288.02398
52.71171171,25347.66583
52.77577578,25407.49484
52.83983984,25467.51163
52.9039039,25527.71682
52.96796797,25588.11106
53.03203203,25648.69495
53.0960961,25709.46915
53.16016016,25770.43426
53.22422422,25831.59093
53.28828829,25892.93978
53.35235235,25954.48144
53.41641642,26016.21654
53.48048048,26078.1457
53.54454454,26140.26956
53.60860861,26202.58874
53.67267267,26265.10388
53.73673674,26327.8156
53.8008008,26390.72453
53.86486486,26453.8313
53.92892893,26517.13654
53.99299299,26580.64088
54.05705706,26644.34494
54.12112112,26708.24935
54.18518519,26772.35475
54.24924925,26836.66176
54.31331331,26901.17102
54.37737738,26965.88314
54.44144144,27030.79876
54.50550551,27095.9185
54.56956957,27161.24301
54.63363363,27226.7729
54.6976977,27292.5088
54.76176176,27358.45134
54.82582583,27424.60115
54.88988989,27490.95887
54.95395395,27557.52511
55.01801802,27624.30051
55.08208208,27691.28569
55.14614615,27758.48129
55.21021021,27825.88793
55.27427427,27893.50625
55.33833834,27961.33686
55.4024024,28029.38041
55.46646647,28097.63751
55.53053053,28166.1088
55.59459459,28234.79491
55.65865866,28303.69646
55.72272272,28372.81408
55.78678679,28442.14841
55.85085085,28511.70007
55.91491491,28581.46968
55.97897898,28651.45789
56.04304304,28721.66531
56.10710711,28792.09258
56.17117117,28862.74032
56.23523524,28933.60917
56.2992993,29004.69974
56.36336336,29076.01268
56.42742743,29147.54861
56.49149149,29219.30816
56.55555556,29291.29195
56.61961962,29363.50062
56.68368368,29435.9348
56.74774775,29508.59511
56.81181181,29581.48218
56.87587588,29654.59664
56.93993994,29727.93912
57.004004,29801.51025
57.06806807,29875.31065
57.13213213,29949.34096
57.1961962,30023.60181
57.26026026,30098.09382
57.32432432,30172.81762
57.38838839,30247.77385
57.45245245,30322.96312
