,year,yearCode,country,countryCode,gini,govExpEdu,gdpGrowth,gdpPC
961,2004,YR2004,Ireland,IRL,33.6,4.48499012,6.7858728170000004,55040.820170000006
964,2004,YR2004,Italy,ITA,34.3,4.3852000239999995,1.4235941580000002,44118.03664
965,2004,YR2004,Jamaica,JAM,45.5,3.912549973,1.3237251,9884.23511
968,2004,YR2004,Kazakhstan,KAZ,31.8,2.25590992,9.600000001,15208.44025
975,2004,YR2004,Kyrgyz Republic,KGZ,34.8,4.622439861,7.026812415,3563.875363
977,2004,YR2004,Latvia,LVA,36.4,4.84540987,8.501267505,18025.7035
983,2004,YR2004,Lithuania,LTU,37.0,5.174280167,6.569490117999999,19226.469269999998
993,2004,YR2004,Mauritania,MRT,40.2,1.950799942,4.732757925,4395.5234789999995
995,2004,YR2004,Mexico,MEX,50.0,4.726709843,3.92059081,17635.24685
997,2004,YR2004,Moldova,MDA,35.0,6.771039963,7.39999969,6710.469121
1007,2004,YR2004,Netherlands,NLD,29.8,5.062970161,1.984945714,48586.70462
1015,2004,YR2004,Norway,NOR,31.6,7.2982702260000005,3.96941456,60699.58545
1017,2004,YR2004,Pakistan,PAK,32.5,1.767590046,7.546860015,3560.8118409999997
1019,2004,YR2004,Panama,PAN,54.8,3.578660011,7.522079657999999,15491.00201
1021,2004,YR2004,Paraguay,PRY,52.3,2.8698999880000002,4.057418364,8528.03793
1022,2004,YR2004,Peru,PER,49.9,2.957870007,4.958203206,7136.3515609999995
1024,2004,YR2004,Poland,POL,38.0,5.355579853,4.982822123,18287.82793
1025,2004,YR2004,Portugal,PRT,38.9,5.046380043,1.7887356819999998,30892.819880000003
1029,2004,YR2004,Russian Federation,RUS,40.3,3.547869921,7.19994787,18765.51856
1041,2004,YR2004,Slovak Republic,SVK,27.1,4.101570129,5.278879991,18827.29975
1042,2004,YR2004,Slovenia,SVN,24.8,5.64425993,4.359192778,30041.81457
1047,2004,YR2004,Spain,ESP,33.3,4.157859802,3.122795242,37249.77351
1055,2004,YR2004,Sweden,SWE,26.1,6.663109779,4.3368561539999995,44354.39106
1058,2004,YR2004,Tajikistan,TJK,33.6,2.772030115,10.29999894,1837.6511699999999
1060,2004,YR2004,Thailand,THA,42.5,4.030889988,6.289342143,11886.32462
1066,2004,YR2004,Turkey,TUR,41.3,2.9899899960000003,9.795936389,16968.87361
1071,2004,YR2004,Ukraine,UKR,28.9,5.313509941,12.10876949,10561.00953
1073,2004,YR2004,United Kingdom,GBR,36.0,4.743639946,2.286278175,41691.3885
1075,2004,YR2004,Uruguay,URY,45.9,2.499540091,5.004160334,13593.73217
1083,2004,YR2004,Zambia,ZMB,54.3,2.463429928,7.032395115,2261.766733
1086,2005,YR2005,Albania,ALB,30.6,3.2815499310000003,5.529914809,8040.8787170000005
1092,2005,YR2005,Argentina,ARG,47.7,3.860009909,8.85165992,19426.44014
1093,2005,YR2005,Armenia,ARM,36.0,2.712029934,13.9,7419.871190000001
1096,2005,YR2005,Austria,AUT,28.7,5.249370098,2.244065325,49316.2647
1097,2005,YR2005,Azerbaijan,AZE,26.6,2.9746201039999995,27.96153807,7222.036075
1102,2005,YR2005,Belarus,BLR,27.6,5.871029854,9.400001524,11940.1866
1103,2005,YR2005,Belgium,BEL,29.3,5.795859814,2.321737054,46341.289639999995
1111,2005,YR2005,Brazil,BRA,56.3,4.4790802,3.20213138,12565.94139
1127,2005,YR2005,Colombia,COL,53.9,4.020989895,4.828761108,10049.12618
1130,2005,YR2005,"Congo, Rep.",COG,47.3,1.681020021,7.755758977999999,4638.193948
1136,2005,YR2005,Cyprus,CYP,30.3,6.286670207999999,4.853003838,37803.57553
1137,2005,YR2005,Czech Republic,CZE,26.9,3.865910053,6.60161753,30384.44665
1138,2005,YR2005,Denmark,DNK,25.2,8.085570335,2.336641308,51483.27379
1144,2005,YR2005,El Salvador,SLV,48.5,3.177850008,2.7074677680000003,6870.629839
1147,2005,YR2005,Estonia,EST,33.4,4.8131599430000005,9.524412641,26096.98834
1152,2005,YR2005,Finland,FIN,27.6,6.02507019,2.7798505560000004,44786.909660000005
1157,2005,YR2005,Georgia,GEO,37.4,2.484319925,9.589574062,7315.19848
1159,2005,YR2005,Ghana,GHA,42.8,7.42208004,5.900003916,3090.187438
1161,2005,YR2005,Greece,GRC,34.6,3.963959932,0.5991421720000001,34732.64407
1172,2005,YR2005,Hungary,HUN,34.7,5.330920218999999,4.243622884,24355.781919999998
1173,2005,YR2005,Iceland,ISL,29.0,7.338439941,6.124438965,48104.65181
1175,2005,YR2005,Indonesia,IDN,33.0,2.872819901,5.692571303999999,6699.272091
1176,2005,YR2005,"Iran, Islamic Rep.",IRN,43.6,4.056509972,3.1898040869999997,11998.21486
1178,2005,YR2005,Ireland,IRL,33.8,4.520989895,5.73621145,56943.827529999995
1180,2005,YR2005,Israel,ISR,41.8,5.754449844,3.829403549,31239.00686
1181,2005,YR2005,Italy,ITA,33.8,4.2382998469999995,0.817848974,44260.82742
1185,2005,YR2005,Kazakhstan,KAZ,39.8,2.263530016,9.699999999,16536.01541
1186,2005,YR2005,Kenya,KEN,46.5,7.335649967,5.906666082,2992.340779
1192,2005,YR2005,Kyrgyz Republic,KGZ,32.6,4.873839855,-0.175515413,3517.720509
1200,2005,YR2005,Lithuania,LTU,35.3,4.878399849,7.732367603999999,21053.1846
1203,2005,YR2005,Madagascar,MDG,39.9,3.3096399310000004,4.755845097,1559.8747210000001
1212,2005,YR2005,Mexico,MEX,50.1,4.845689773999999,2.307807066,17788.58912
1214,2005,YR2005,Moldova,MDA,36.3,7.162700176,7.500000139,7231.328422
1224,2005,YR2005,Netherlands,NLD,29.0,5.109399796,2.050876108,49467.43543
